nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,risque_personnel,date_creation_compte,loyer_mensuel,montant_pret
Ramirez,Casey,1.5719135852178416,-0.9103298622784585,-0.1925899109206742,1.0011287264380062,-0.9691953867476463,0.7220757844619891,0.6461623977268354,-1.0083416305235788,0.8159035896340476,-1.447570516567611,-1.33899196436769,1.1098584437643215,-1.1864361060690596,0.4295790582457542
Hill,Phillip,-0.15154521001745402,-0.18447047257103524,0.3276617542834882,1.0011287264380062,-0.9691953867476463,-0.6893627189536378,1.51926286751612,-1.0083416305235788,0.8159035896340476,2.425333690665064,1.0027112508469922,0.4798165455780246,1.542259415749127,2.312509921331571
Hernandez,Martin,1.453054357960235,-0.9921168357666171,-1.6848907400589277,1.0011287264380062,-0.9691953867476463,1.4277950361698026,-1.536588776746376,0.9917273766439184,0.8159035896340476,1.1428975436484103,-1.2701183403907876,0.4798165455780246,-0.040137955762098734,0.9008553760237563
Miller,Michael,0.9181878353010053,-0.8285428887902969,1.2038750851536553,-0.9988725461489633,1.0317836977698849,-0.6893627189536378,-1.536588776746376,0.9917273766439184,0.8159035896340476,0.7007086175263568,-0.6158189126102146,1.1098584437643215,1.542259415749127,0.7081019423229757
Walker,Matthew,-1.6967151643663396,0.8174199526589312,0.5124880037639133,-0.9988725461489633,1.0317836977698849,-0.6893627189536378,-0.6634883069570914,-1.0083416305235788,0.8159035896340476,1.232041418974413,0.5550326949971265,0.4798165455780246,-0.040137955762098734,0.16359690010509348
Haney,Jacob,1.0964766761874152,0.970770527949232,-0.5896240764712185,-0.9988725461489633,-0.9691953867476463,-0.6893627189536378,0.6461623977268354,-1.0083416305235788,-1.2256350048031088,0.07052320185540659,0.2795381990895166,0.4798165455780246,-0.040137955762098734,-0.8083924909040522
Alexander,Christopher,-1.4589967098511265,0.08133719126548848,-0.6306965763557577,-0.9988725461489633,-0.9691953867476463,0.7220757844619891,-1.1000385418517336,0.9917273766439184,0.8159035896340476,-1.573784122227199,-0.13370354477189766,0.4798165455780246,-1.4011357814357028,-0.8083924909040522
Walsh,Nicole,0.44275092627057894,-0.0004497822226731064,-0.603314909766065,1.0011287264380062,1.0317836977698849,-1.3950819706614512,1.51926286751612,0.9917273766439184,0.8159035896340476,0.11641905845889317,-0.9601870324947268,0.4798165455780246,1.542259415749127,-0.8083924909040522
Flores,Mark,0.8587582216722021,0.5311655454503685,-0.794986575893914,1.0011287264380062,1.0317836977698849,1.4277950361698026,-0.6634883069570914,0.9917273766439184,0.8159035896340476,-0.8165024882696705,1.2093321227776992,1.1098584437643215,-0.040137955762098734,-0.41771608837849344
Fernandez,Justin,-1.1024190280783068,-0.8592130038483582,0.7589230030711485,-0.9988725461489633,1.0317836977698849,0.7220757844619891,-0.22693807206244912,0.9917273766439184,0.8159035896340476,-1.762663224403086,0.5550326949971265,-0.7802672507945693,1.542259415749127,-0.8083924909040522
Liu,Michael,-1.1024190280783068,1.2059080767276944,0.7520775864237247,-0.9988725461489633,-0.9691953867476463,0.7220757844619891,-1.1000385418517336,-1.0083416305235788,0.8159035896340476,0.30882861114274074,-0.4436348526679586,-1.4103091489808661,-1.4584786973845265,1.3715624642039794
